id,epoch,val_loss,val_acc,loss,acc
0x38d740ccd7634ec,4,0.0864,0.5111,0.098,0.4952
0x38d740ccd7634ec,5,0.0868,0.5111,0.0871,0.5429
0x38d740ccd7634ec,6,0.0734,0.5111,0.0842,0.581
0x38d740ccd7634ec,7,0.0727,0.5111,0.077,0.6
0x38d740ccd7634ec,8,0.0708,0.5111,0.0801,0.5714
0x38d740ccd7634ec,9,0.08,0.5111,0.0658,0.6667
0x38d740ccd7634ec,10,0.0739,0.5111,0.0609,0.7429
0x2f91b1ea584d2a77,1,0.1039,0.5111,0.1303,0.3429
0x2f91b1ea584d2a77,2,0.1041,0.5111,0.1022,0.4476
0x2f91b1ea584d2a77,3,0.0819,0.5111,0.0839,0.6381
0x2f91b1ea584d2a77,4,0.0935,0.5111,0.0665,0.7143
0x2f91b1ea584d2a77,5,0.0625,0.5111,0.0557,0.7333
0x2f91b1ea584d2a77,6,0.0767,0.5111,0.0546,0.7143
0x2f91b1ea584d2a77,7,0.0774,0.5111,0.0506,0.7619
0x2f91b1ea584d2a77,8,0.0389,0.9556,0.0449,0.7905
0x2f91b1ea584d2a77,9,0.034,0.9778,0.042,0.7905
0x2f91b1ea584d2a77,10,0.0383,0.9111,0.043,0.7714
0x62279fb0775b6a89,1,0.0885,0.5556,0.0874,0.5619
0x62279fb0775b6a89,2,0.0845,0.5111,0.0826,0.619
0x62279fb0775b6a89,3,0.0817,0.5111,0.0746,0.6476
0x62279fb0775b6a89,4,0.0787,0.5111,0.0655,0.7143
0x62279fb0775b6a89,5,0.0763,0.5111,0.0641,0.7143
0x62279fb0775b6a89,6,0.0742,0.5111,0.0576,0.7238
0x62279fb0775b6a89,7,0.0705,0.5111,0.0573,0.6952
0x62279fb0775b6a89,8,0.0687,0.5111,0.0549,0.7238
0x62279fb0775b6a89,9,0.0656,0.5556,0.0507,0.7429
0x62279fb0775b6a89,10,0.0624,0.6,0.0482,0.7333
0x25ce63716a08405d,1,0.1332,0.5111,0.0983,0.619
0x25ce63716a08405d,2,0.1284,0.5111,0.0923,0.7333
0x25ce63716a08405d,3,0.1268,0.5111,0.0895,0.7333
0x25ce63716a08405d,4,0.125,0.5111,0.0876,0.7333
0x25ce63716a08405d,5,0.1236,0.5111,0.0853,0.7333
0x25ce63716a08405d,6,0.1217,0.5111,0.0833,0.7333
0x25ce63716a08405d,7,0.1191,0.5111,0.0812,0.7333
0x25ce63716a08405d,8,0.1157,0.5111,0.0789,0.7333
0x25ce63716a08405d,9,0.1109,0.5111,0.0767,0.7333
0x25ce63716a08405d,10,0.1033,0.5111,0.0731,0.7333
0x46b0831c5d0cccd2,1,0.1292,0.3333,0.1284,0.3619
0x46b0831c5d0cccd2,2,0.1234,0.5111,0.1173,0.3524
0x46b0831c5d0cccd2,3,0.1199,0.5111,0.1141,0.4095
0x46b0831c5d0cccd2,4,0.1176,0.5111,0.106,0.4667
0x46b0831c5d0cccd2,5,0.1156,0.5111,0.10300000000000001,0.4857
0x46b0831c5d0cccd2,6,0.1114,0.5111,0.1008,0.4952
0x46b0831c5d0cccd2,7,0.1073,0.5111,0.1026,0.5048
0x46b0831c5d0cccd2,8,0.1054,0.5111,0.0944,0.581
0x46b0831c5d0cccd2,9,0.1045,0.5111,0.0934,0.5714
0x46b0831c5d0cccd2,10,0.1035,0.5111,0.0954,0.581
0x305e313b7886ab8,1,0.1271,0.3111,0.1485,0.3429
0x305e313b7886ab8,2,0.1129,0.3111,0.1395,0.2762
0x305e313b7886ab8,3,0.1063,0.3111,0.1243,0.3048
0x305e313b7886ab8,4,0.1025,0.3111,0.1269,0.3048
0x305e313b7886ab8,5,0.1004,0.3556,0.1212,0.3524
0x305e313b7886ab8,6,0.0992,0.5111,0.0991,0.5143
0x305e313b7886ab8,7,0.0974,0.5111,0.10099999999999999,0.4952
0x305e313b7886ab8,8,0.0947,0.5111,0.0981,0.5333
0x305e313b7886ab8,9,0.0928,0.5111,0.099,0.5048
0x305e313b7886ab8,10,0.0906,0.5111,0.0868,0.581
0x20861cf7ae305b3c,1,0.1175,0.4889,0.1604,0.2667
0x20861cf7ae305b3c,2,0.1135,0.4889,0.1503,0.2667
0x20861cf7ae305b3c,3,0.1114,0.4889,0.1404,0.2667
0x20861cf7ae305b3c,4,0.1113,0.4889,0.132,0.2667
0x20861cf7ae305b3c,5,0.1123,0.4889,0.1258,0.2667
0x20861cf7ae305b3c,6,0.1126,0.4667,0.1211,0.2571
0x20861cf7ae305b3c,7,0.1116,0.4444,0.1172,0.3238
0x20861cf7ae305b3c,8,0.1098,0.4,0.1136,0.5333
0x20861cf7ae305b3c,9,0.1075,0.3111,0.1097,0.419
0x20861cf7ae305b3c,10,0.1049,0.3556,0.1054,0.4095
0x7cb8abc9436a7697,1,0.0967,0.5111,0.1197,0.3524
0x7cb8abc9436a7697,2,0.0901,0.5111,0.08900000000000001,0.5619
0x7cb8abc9436a7697,3,0.0839,0.5111,0.0856,0.5524
0x7cb8abc9436a7697,4,0.0792,0.5111,0.0755,0.6762
0x7cb8abc9436a7697,5,0.0753,0.5111,0.0663,0.6857
0x7cb8abc9436a7697,6,0.0755,0.5111,0.0583,0.6762
0x7cb8abc9436a7697,7,0.0702,0.5111,0.0555,0.7143
0x7cb8abc9436a7697,8,0.0649,0.5111,0.0502,0.7238
